AIRPORT_NAME,AIRPORT_ZIP_CODE,DEPARTURE_CODE,DOMESTIC_CODE,TICKETS_SOLD,TAIL_NUMBER,PLANE_MODEL,DESTINATION_CODE,DEPARTING_DELAY,SCHEDULED_DEPARTURE_UTC
Orlando International Airport,32827,MCO,DLTA,426,#Q971NVV,Airbus A380,LAX,0,2024-07-07 20:01:00.000
Harry Reid International Airport,89119,LAS,AA,255,#F911ZYR,Boeing 747,LAX,0,2024-07-07 20:02:00.000
Fort Lauderdale–Hollywood International Airport,33315,FLL,AA,245,#I190DDS,Boeing 767,JFK,0,2024-07-07 20:06:00.000
Charlotte Douglas International Airport,28208,CLT,DLTA,92,#V502EJS,Boeing 737,SEA,0,2024-07-07 20:07:00.000
Dallas/Fort Worth International Airport,75261,DFW,DLTA,195,#J599WKH,Airbus A330,EWR,0,2024-07-07 20:47:00.000
Logan International Airport,02128,BOS,UA,244,#Z070PCW,Boeing 747,ORD,0,2024-07-07 20:48:00.000
Miami International Airport,33126,MIA,UA,224,#M977AVT,Boeing 767,SEA,0,2024-07-07 20:49:00.000
San Francisco International Airport,94128,SFO,AA,301,#L461KSJ,Boeing 747,EWR,0,2024-07-07 20:49:00.000
O'Hare International Airport,60666,ORD,DLTA,206,#I509SON,Airbus A330,EWR,0,2024-07-07 20:50:00.000
Los Angeles International Airport,90045,LAX,DLTA,238,#I088WVN,Airbus A330,SFO,0,2024-07-07 20:50:00.000
Fort Lauderdale–Hollywood International Airport,33315,FLL,UA,153,#N026QXT,Boeing 737 MAX,MSP,0,2024-07-07 20:52:00.000
Denver International Airport,80249,DEN,AA,239,#E406ZCL,Boeing 767,CLT,0,2024-07-07 20:53:00.000
Seattle–Tacoma International Airport,98158,SEA,UA,382,#L535URY,Airbus A380,MCO,0,2024-07-07 20:54:00.000
Newark Liberty International Airport,07114,EWR,DLTA,174,#M640PNE,Airbus A330,MCO,0,2024-07-07 20:56:00.000
George Bush Intercontinental Airport,77032,IAH,UA,281,#E724ZNJ,Airbus A350,MIA,0,2024-07-07 20:58:00.000
Phoenix Sky Harbor International Airport,85034,PHX,DLTA,92,#S737PIS,Airbus A320,DEN,0,2024-07-07 21:02:00.000
Orlando International Airport,32827,MCO,DLTA,206,#H532YKN,Airbus A350,SEA,0,2024-07-07 21:03:00.000
Harry Reid International Airport,89119,LAS,DLTA,273,#J342XPT,Airbus A350,SFO,0,2024-07-07 21:03:00.000
Charlotte Douglas International Airport,28208,CLT,AA,328,#S905CLS,Boeing 777,ATL,0,2024-07-07 21:04:00.000
Hartsfield–Jackson Atlanta International Airport,30320,ATL,UA,283,#U880GVI,Boeing 777,LAX,0,2024-07-07 21:04:00.000
Minneapolis–Saint Paul International Airport,55450,MSP,UA,371,#R468ART,Airbus A380,PHX,0,2024-07-07 21:05:00.000
John F. Kennedy International Airport,11430,JFK,DLTA,255,#I717PDA,Boeing 787 Dreamliner,CLT,0,2024-07-07 21:05:00.000
San Francisco International Airport,94128,SFO,DLTA,307,#E730WZM,Boeing 777,JFK,0,2024-07-07 21:52:00.000
Logan International Airport,02128,BOS,DLTA,232,#Z598ZYW,Airbus A340,MIA,0,2024-07-07 21:52:00.000
Miami International Airport,33126,MIA,DLTA,229,#S497MXC,Boeing 787 Dreamliner,DEN,0,2024-07-07 21:55:00.000
O'Hare International Airport,60666,ORD,DLTA,275,#Y939AFE,Boeing 777,IAH,0,2024-07-07 21:56:00.000
George Bush Intercontinental Airport,77032,IAH,DLTA,137,#W344NVW,Boeing 737 MAX,PHX,0,2024-07-07 21:58:00.000
Seattle–Tacoma International Airport,98158,SEA,UA,98,#H973SVY,Airbus A320,DEN,0,2024-07-07 22:00:00.000
Minneapolis–Saint Paul International Airport,55450,MSP,UA,98,#M129OOU,Boeing 737,MCO,0,2024-07-07 22:00:00.000
Harry Reid International Airport,89119,LAS,DLTA,253,#V800IFL,Boeing 767,MCO,0,2024-07-07 22:01:00.000
Fort Lauderdale–Hollywood International Airport,33315,FLL,AA,282,#Z377HER,Boeing 777,LAS,0,2024-07-07 22:03:00.000
Phoenix Sky Harbor International Airport,85034,PHX,AA,296,#W767DZJ,Boeing 777,ATL,0,2024-07-07 22:03:00.000
Dallas/Fort Worth International Airport,75261,DFW,DLTA,101,#B295YXV,Airbus A320,DEN,0,2024-07-07 22:03:00.000
Los Angeles International Airport,90045,LAX,AA,230,#C218EJW,Boeing 787 Dreamliner,FLL,0,2024-07-07 22:05:00.000
Denver International Airport,80249,DEN,UA,419,#L620NXY,Airbus A380,SEA,0,2024-07-07 22:08:00.000
John F. Kennedy International Airport,11430,JFK,AA,111,#A337OHQ,Boeing 737,MIA,0,2024-07-07 22:08:00.000
Charlotte Douglas International Airport,28208,CLT,DLTA,328,#S331IDE,Boeing 777,PHX,0,2024-07-07 22:09:00.000
Newark Liberty International Airport,07114,EWR,UA,265,#M327HSX,Boeing 747,IAH,0,2024-07-07 22:10:00.000
Hartsfield–Jackson Atlanta International Airport,30320,ATL,AA,132,#G771NEM,Boeing 737 MAX,ORD,0,2024-07-07 22:11:00.000
Orlando International Airport,32827,MCO,DLTA,245,#P637VEH,Airbus A340,MSP,0,2024-07-07 22:11:00.000
Dallas/Fort Worth International Airport,75261,DFW,UA,270,#U355HXV,Boeing 777,DEN,0,2024-07-08 05:50:00.000
San Francisco International Airport,94128,SFO,UA,96,#P530ACQ,Airbus A320,IAH,0,2024-07-08 05:50:00.000
O'Hare International Airport,60666,ORD,DLTA,95,#F220UOI,Boeing 737,FLL,0,2024-07-08 05:51:00.000
Minneapolis–Saint Paul International Airport,55450,MSP,AA,222,#O878QFW,Airbus A330,SFO,0,2024-07-08 05:52:00.000
Logan International Airport,02128,BOS,AA,152,#Z727ZUA,Boeing 737 MAX,LAX,0,2024-07-08 05:52:00.000
Orlando International Airport,32827,MCO,DLTA,281,#Z445KDL,Boeing 747,SEA,0,2024-07-08 05:54:00.000
Newark Liberty International Airport,07114,EWR,AA,327,#J139HTE,Boeing 747,MIA,1,2024-07-08 05:56:00.000
John F. Kennedy International Airport,11430,JFK,UA,202,#Y088IOY,Airbus A350,EWR,0,2024-07-08 05:58:00.000
Phoenix Sky Harbor International Airport,85034,PHX,AA,241,#T917ZDX,Airbus A340,DFW,0,2024-07-08 05:58:00.000
Charlotte Douglas International Airport,28208,CLT,DLTA,254,#R761MPP,Boeing 747,ORD,0,2024-07-08 06:00:00.000
Denver International Airport,80249,DEN,UA,122,#G383VZS,Airbus A320neo,IAH,0,2024-07-08 06:03:00.000
George Bush Intercontinental Airport,77032,IAH,AA,96,#P371JDN,Boeing 737,CLT,0,2024-07-08 06:04:00.000
Harry Reid International Airport,89119,LAS,UA,206,#Z772PTZ,Boeing 767,MSP,0,2024-07-08 06:07:00.000
Fort Lauderdale–Hollywood International Airport,33315,FLL,AA,241,#I802RAI,Airbus A330,SFO,0,2024-07-08 06:07:00.000
Miami International Airport,33126,MIA,DLTA,250,#R971ZQC,Airbus A350,LAS,0,2024-07-08 06:13:00.000
Hartsfield–Jackson Atlanta International Airport,30320,ATL,DLTA,275,#A369WJL,Boeing 787 Dreamliner,MIA,0,2024-07-08 06:14:00.000
Los Angeles International Airport,90045,LAX,UA,177,#E726UKC,Airbus A330,ORD,0,2024-07-08 06:15:00.000
Seattle–Tacoma International Airport,98158,SEA,DLTA,118,#B757FFB,Airbus A320neo,SFO,0,2024-07-08 06:15:00.000
George Bush Intercontinental Airport,77032,IAH,AA,108,#N930CYR,Airbus A320,BOS,0,2024-07-08 06:54:00.000
Minneapolis–Saint Paul International Airport,55450,MSP,DLTA,317,#N633LHC,Airbus A340,SEA,0,2024-07-08 06:56:00.000
Charlotte Douglas International Airport,28208,CLT,DLTA,117,#Z148IIG,Airbus A320neo,DEN,0,2024-07-08 06:58:00.000
Dallas/Fort Worth International Airport,75261,DFW,UA,438,#G165BIB,Airbus A380,LAS,0,2024-07-08 07:00:00.000
Seattle–Tacoma International Airport,98158,SEA,UA,496,#K863GLL,Airbus A380,FLL,0,2024-07-08 07:02:00.000
Logan International Airport,02128,BOS,UA,94,#D844FIB,Airbus A320,MIA,0,2024-07-08 07:03:00.000
Denver International Airport,80249,DEN,UA,264,#C527ZJU,Boeing 747,DFW,0,2024-07-08 07:04:00.000
Fort Lauderdale–Hollywood International Airport,33315,FLL,AA,126,#V431LBN,Airbus A320,JFK,0,2024-07-08 07:08:00.000
Newark Liberty International Airport,07114,EWR,AA,123,#T835AKU,Airbus A320,IAH,0,2024-07-08 07:08:00.000
Hartsfield–Jackson Atlanta International Airport,30320,ATL,DLTA,132,#V421SNK,Boeing 737 MAX,JFK,0,2024-07-08 07:09:00.000
John F. Kennedy International Airport,11430,JFK,AA,105,#R185LGF,Airbus A320neo,IAH,0,2024-07-08 07:12:00.000
Harry Reid International Airport,89119,LAS,AA,134,#M267FZC,Boeing 737,FLL,0,2024-07-08 07:12:00.000
San Francisco International Airport,94128,SFO,UA,289,#C519MXE,Boeing 747,FLL,0,2024-07-08 07:13:00.000
Orlando International Airport,32827,MCO,AA,98,#K904EYA,Boeing 737,DFW,0,2024-07-08 07:15:00.000
O'Hare International Airport,60666,ORD,AA,205,#J733CXP,Airbus A350,MIA,0,2024-07-08 07:15:00.000
Miami International Airport,33126,MIA,UA,251,#I536LLK,Boeing 767,DEN,0,2024-07-08 07:17:00.000
Los Angeles International Airport,90045,LAX,AA,213,#T730MKW,Airbus A330,BOS,0,2024-07-08 07:17:00.000
Phoenix Sky Harbor International Airport,85034,PHX,AA,178,#X015XJQ,Airbus A330,FLL,0,2024-07-08 07:19:00.000
Fort Lauderdale–Hollywood International Airport,33315,FLL,DLTA,263,#M295JQR,Airbus A350,CLT,0,2024-07-08 07:59:00.000
Denver International Airport,80249,DEN,AA,301,#V271ITA,Boeing 747,LAS,0,2024-07-08 07:59:00.000
O'Hare International Airport,60666,ORD,DLTA,116,#E038PMW,Airbus A320neo,BOS,0,2024-07-08 08:01:00.000
Charlotte Douglas International Airport,28208,CLT,DLTA,244,#W420KCC,Airbus A340,DFW,0,2024-07-08 08:01:00.000
John F. Kennedy International Airport,11430,JFK,AA,101,#E414QCO,Boeing 737,LAS,0,2024-07-08 08:05:00.000
Los Angeles International Airport,90045,LAX,DLTA,109,#C475RCS,Boeing 737 MAX,MCO,0,2024-07-08 08:08:00.000
San Francisco International Airport,94128,SFO,DLTA,228,#W041FLF,Boeing 787 Dreamliner,ATL,0,2024-07-08 08:09:00.000
Newark Liberty International Airport,07114,EWR,UA,111,#L221TFN,Boeing 737 MAX,BOS,0,2024-07-08 08:11:00.000
Dallas/Fort Worth International Airport,75261,DFW,UA,429,#Y897NZA,Airbus A380,JFK,0,2024-07-08 08:11:00.000
Minneapolis–Saint Paul International Airport,55450,MSP,AA,330,#H996VJM,Boeing 747,EWR,0,2024-07-08 08:14:00.000
George Bush Intercontinental Airport,77032,IAH,AA,233,#N490TZS,Boeing 787 Dreamliner,DEN,0,2024-07-08 08:15:00.000
Miami International Airport,33126,MIA,DLTA,294,#U868CGK,Boeing 747,BOS,0,2024-07-08 08:15:00.000
Seattle–Tacoma International Airport,98158,SEA,UA,358,#G908OYP,Airbus A380,ORD,0,2024-07-08 08:16:00.000
Harry Reid International Airport,89119,LAS,UA,198,#Z063MKJ,Boeing 767,EWR,0,2024-07-08 08:16:00.000
Logan International Airport,02128,BOS,AA,264,#T071BCD,Boeing 777,PHX,0,2024-07-08 08:21:00.000
Orlando International Airport,32827,MCO,AA,227,#K727DJY,Airbus A340,ATL,0,2024-07-08 08:21:00.000
Phoenix Sky Harbor International Airport,85034,PHX,UA,209,#G574FOL,Boeing 767,DEN,0,2024-07-08 08:22:00.000
Hartsfield–Jackson Atlanta International Airport,30320,ATL,UA,142,#V888TGL,Boeing 737 MAX,DFW,0,2024-07-08 08:22:00.000
Harry Reid International Airport,89119,LAS,DLTA,137,#Q223BJW,Airbus A320neo,SEA,0,2024-07-08 09:04:00.000
Minneapolis–Saint Paul International Airport,55450,MSP,DLTA,114,#D699UXW,Airbus A320neo,FLL,0,2024-07-08 09:08:00.000
Charlotte Douglas International Airport,28208,CLT,AA,274,#X040LFE,Airbus A340,LAX,0,2024-07-08 09:08:00.000
Orlando International Airport,32827,MCO,AA,312,#P253FWC,Boeing 777,ORD,1,2024-07-08 09:11:00.000
San Francisco International Airport,94128,SFO,UA,315,#C632NPN,Boeing 777,MCO,0,2024-07-08 09:11:00.000
O'Hare International Airport,60666,ORD,UA,103,#Q334TVY,Airbus A320,PHX,0,2024-07-08 09:13:00.000
Miami International Airport,33126,MIA,DLTA,131,#A796OMI,Boeing 737,CLT,0,2024-07-08 09:16:00.000
Denver International Airport,80249,DEN,AA,291,#G958PDX,Boeing 787 Dreamliner,SEA,0,2024-07-08 09:18:00.000
Los Angeles International Airport,90045,LAX,AA,139,#L182JHW,Boeing 737 MAX,CLT,0,2024-07-08 09:19:00.000
Newark Liberty International Airport,07114,EWR,DLTA,260,#Z910OSN,Boeing 777,MSP,0,2024-07-08 09:21:00.000
Fort Lauderdale–Hollywood International Airport,33315,FLL,DLTA,113,#Z973KWB,Boeing 737 MAX,LAS,0,2024-07-08 09:22:00.000
Seattle–Tacoma International Airport,98158,SEA,AA,124,#O307OBQ,Boeing 737,BOS,0,2024-07-08 09:22:00.000
Phoenix Sky Harbor International Airport,85034,PHX,UA,140,#H428VMZ,Boeing 737 MAX,BOS,0,2024-07-08 09:22:00.000
John F. Kennedy International Airport,11430,JFK,UA,251,#X644DHJ,Boeing 767,BOS,0,2024-07-08 09:23:00.000
Dallas/Fort Worth International Airport,75261,DFW,UA,106,#E662KCO,Boeing 737,PHX,0,2024-07-08 09:24:00.000
George Bush Intercontinental Airport,77032,IAH,DLTA,147,#B357MNC,Airbus A320neo,LAX,0,2024-07-08 09:24:00.000
Hartsfield–Jackson Atlanta International Airport,30320,ATL,DLTA,323,#E551RSJ,Airbus A340,SFO,0,2024-07-08 09:27:00.000
Logan International Airport,02128,BOS,AA,267,#S669ZFF,Boeing 787 Dreamliner,LAS,0,2024-07-08 09:27:00.000
Phoenix Sky Harbor International Airport,85034,PHX,UA,246,#Y806HHX,Boeing 767,ATL,0,2024-07-08 10:09:00.000
Charlotte Douglas International Airport,28208,CLT,DLTA,242,#T319OLZ,Boeing 777,MSP,0,2024-07-08 10:11:00.000
Newark Liberty International Airport,07114,EWR,AA,300,#Q259ZGL,Boeing 787 Dreamliner,MCO,0,2024-07-08 10:11:00.000
Los Angeles International Airport,90045,LAX,DLTA,251,#W880TDQ,Boeing 767,JFK,0,2024-07-08 10:11:00.000
Minneapolis–Saint Paul International Airport,55450,MSP,DLTA,125,#P389AYB,Boeing 737,JFK,0,2024-07-08 10:13:00.000
Denver International Airport,80249,DEN,DLTA,174,#A926DFA,Airbus A330,FLL,0,2024-07-08 10:14:00.000
O'Hare International Airport,60666,ORD,DLTA,130,#H933PND,Boeing 737 MAX,SFO,0,2024-07-08 10:16:00.000
Dallas/Fort Worth International Airport,75261,DFW,AA,388,#G609TZF,Airbus A380,FLL,0,2024-07-08 10:17:00.000
Logan International Airport,02128,BOS,UA,110,#V850DYC,Boeing 737,IAH,0,2024-07-08 10:17:00.000
John F. Kennedy International Airport,11430,JFK,DLTA,158,#E950TKO,Boeing 737 MAX,MCO,0,2024-07-08 10:18:00.000
Seattle–Tacoma International Airport,98158,SEA,DLTA,184,#D586TUY,Boeing 767,MIA,0,2024-07-08 10:19:00.000
Harry Reid International Airport,89119,LAS,DLTA,132,#E355DHB,Boeing 737 MAX,DFW,0,2024-07-08 10:20:00.000
Hartsfield–Jackson Atlanta International Airport,30320,ATL,DLTA,107,#P072MBG,Airbus A320neo,LAS,0,2024-07-08 10:20:00.000
Fort Lauderdale–Hollywood International Airport,33315,FLL,DLTA,275,#N811ILY,Boeing 787 Dreamliner,DFW,0,2024-07-08 10:20:00.000
Miami International Airport,33126,MIA,DLTA,377,#W249QXE,Airbus A380,SEA,0,2024-07-08 10:20:00.000
San Francisco International Airport,94128,SFO,UA,264,#M145IXD,Boeing 747,DFW,0,2024-07-08 10:24:00.000
George Bush Intercontinental Airport,77032,IAH,DLTA,122,#B508RFV,Boeing 737,ATL,0,2024-07-08 10:25:00.000
Orlando International Airport,32827,MCO,DLTA,275,#Y759CUU,Airbus A340,SFO,0,2024-07-08 10:28:00.000
Orlando International Airport,32827,MCO,DLTA,360,#H633TMR,Airbus A380,MSP,0,2024-07-08 11:11:00.000
San Francisco International Airport,94128,SFO,UA,132,#R814PRN,Boeing 737,DEN,0,2024-07-08 11:15:00.000
Fort Lauderdale–Hollywood International Airport,33315,FLL,DLTA,134,#R949FIJ,Boeing 737,ORD,0,2024-07-08 11:16:00.000
Seattle–Tacoma International Airport,98158,SEA,DLTA,257,#E515MXH,Airbus A340,MCO,0,2024-07-08 11:16:00.000
Denver International Airport,80249,DEN,UA,210,#Q433FYF,Airbus A350,MCO,0,2024-07-08 11:16:00.000
George Bush Intercontinental Airport,77032,IAH,DLTA,149,#V165JDR,Airbus A320neo,MCO,0,2024-07-08 11:18:00.000
Harry Reid International Airport,89119,LAS,AA,145,#Z818MKK,Airbus A320neo,LAX,0,2024-07-08 11:19:00.000
O'Hare International Airport,60666,ORD,DLTA,113,#A891VYZ,Airbus A320neo,LAS,0,2024-07-08 11:19:00.000
Logan International Airport,02128,BOS,UA,223,#J763BCZ,Airbus A350,SFO,0,2024-07-08 11:19:00.000
Miami International Airport,33126,MIA,UA,213,#Q928OOY,Boeing 787 Dreamliner,IAH,0,2024-07-08 11:23:00.000
Minneapolis–Saint Paul International Airport,55450,MSP,UA,117,#G411LZN,Airbus A320neo,IAH,0,2024-07-08 11:25:00.000
Hartsfield–Jackson Atlanta International Airport,30320,ATL,UA,278,#B267YOD,Boeing 787 Dreamliner,MSP,0,2024-07-08 11:27:00.000
Charlotte Douglas International Airport,28208,CLT,AA,145,#F929SCP,Boeing 737 MAX,ATL,0,2024-07-08 11:28:00.000
John F. Kennedy International Airport,11430,JFK,DLTA,264,#Q239SBR,Airbus A350,SEA,0,2024-07-08 11:31:00.000
Los Angeles International Airport,90045,LAX,AA,107,#C753UKF,Airbus A320neo,EWR,0,2024-07-08 11:31:00.000
Phoenix Sky Harbor International Airport,85034,PHX,DLTA,268,#T520GEN,Boeing 747,MSP,0,2024-07-08 11:34:00.000
Dallas/Fort Worth International Airport,75261,DFW,AA,458,#H398DRP,Airbus A380,IAH,0,2024-07-08 11:34:00.000
Newark Liberty International Airport,07114,EWR,DLTA,354,#I524AFI,Boeing 747,FLL,0,2024-07-08 11:34:00.000
Denver International Airport,80249,DEN,AA,377,#S661RME,Boeing 747,MSP,1,2024-07-08 12:14:00.000
Logan International Airport,02128,BOS,UA,134,#H582SQM,Boeing 737,MSP,0,2024-07-08 12:19:00.000
Orlando International Airport,32827,MCO,UA,223,#P923OGC,Airbus A330,PHX,0,2024-07-08 12:20:00.000
Fort Lauderdale–Hollywood International Airport,33315,FLL,AA,273,#A059JHK,Airbus A340,SEA,0,2024-07-08 12:21:00.000
O'Hare International Airport,60666,ORD,DLTA,146,#H684SLL,Airbus A320neo,LAX,0,2024-07-08 12:21:00.000
Hartsfield–Jackson Atlanta International Airport,30320,ATL,DLTA,293,#X421ULB,Boeing 777,CLT,0,2024-07-08 12:23:00.000
Los Angeles International Airport,90045,LAX,DLTA,208,#C156IVS,Airbus A350,LAS,0,2024-07-08 12:23:00.000
John F. Kennedy International Airport,11430,JFK,UA,258,#P138WCL,Airbus A350,SFO,0,2024-07-08 12:24:00.000
Dallas/Fort Worth International Airport,75261,DFW,AA,352,#L095HQS,Boeing 747,SFO,0,2024-07-08 12:25:00.000
George Bush Intercontinental Airport,77032,IAH,DLTA,274,#Z479CRX,Airbus A350,LAS,0,2024-07-08 12:28:00.000
Newark Liberty International Airport,07114,EWR,AA,109,#N052FPU,Airbus A320neo,SEA,0,2024-07-08 12:30:00.000
Seattle–Tacoma International Airport,98158,SEA,AA,301,#K651DIP,Boeing 747,DEN,0,2024-07-08 12:31:00.000
Harry Reid International Airport,89119,LAS,UA,240,#K211CLE,Boeing 767,DEN,0,2024-07-08 12:31:00.000
Phoenix Sky Harbor International Airport,85034,PHX,AA,334,#I804ZSP,Airbus A340,LAX,0,2024-07-08 12:33:00.000
Miami International Airport,33126,MIA,UA,338,#M108ZUK,Boeing 747,JFK,0,2024-07-08 12:33:00.000
Minneapolis–Saint Paul International Airport,55450,MSP,UA,315,#Q027LIW,Boeing 777,DEN,0,2024-07-08 12:34:00.000
Charlotte Douglas International Airport,28208,CLT,UA,452,#C126QRH,Airbus A380,SFO,0,2024-07-08 12:37:00.000
San Francisco International Airport,94128,SFO,UA,221,#I116OEK,Airbus A350,PHX,0,2024-07-08 12:39:00.000
Orlando International Airport,32827,MCO,AA,178,#I267ZFO,Airbus A330,BOS,0,2024-07-08 13:19:00.000
Miami International Airport,33126,MIA,DLTA,246,#J077LDC,Boeing 787 Dreamliner,SFO,0,2024-07-08 13:19:00.000
San Francisco International Airport,94128,SFO,AA,458,#Z958MSY,Airbus A380,LAS,0,2024-07-08 13:20:00.000
Seattle–Tacoma International Airport,98158,SEA,UA,250,#K524OML,Airbus A330,ATL,0,2024-07-08 13:20:00.000
Logan International Airport,02128,BOS,DLTA,103,#L731OOW,Airbus A320neo,JFK,0,2024-07-08 13:20:00.000
O'Hare International Airport,60666,ORD,AA,360,#P416EZT,Boeing 747,DEN,0,2024-07-08 13:20:00.000
Harry Reid International Airport,89119,LAS,DLTA,293,#X560GYO,Boeing 787 Dreamliner,PHX,0,2024-07-08 13:21:00.000
Los Angeles International Airport,90045,LAX,AA,123,#P917ENP,Airbus A320neo,ATL,0,2024-07-08 13:22:00.000
John F. Kennedy International Airport,11430,JFK,DLTA,97,#S292GKP,Boeing 737,MIA,0,2024-07-08 13:22:00.000
Denver International Airport,80249,DEN,DLTA,133,#J319VBS,Airbus A320,LAX,0,2024-07-08 13:23:00.000
Minneapolis–Saint Paul International Airport,55450,MSP,DLTA,301,#B638CJF,Airbus A340,MIA,0,2024-07-08 13:24:00.000
George Bush Intercontinental Airport,77032,IAH,AA,129,#J987EKB,Boeing 737,ORD,0,2024-07-08 13:25:00.000
Newark Liberty International Airport,07114,EWR,UA,473,#O677AOS,Airbus A380,PHX,0,2024-07-08 13:32:00.000
Charlotte Douglas International Airport,28208,CLT,DLTA,139,#F446XTX,Airbus A320neo,MCO,0,2024-07-08 13:35:00.000
Dallas/Fort Worth International Airport,75261,DFW,DLTA,97,#V306SXP,Boeing 737,CLT,0,2024-07-08 13:38:00.000
Phoenix Sky Harbor International Airport,85034,PHX,DLTA,248,#J611GGF,Airbus A330,ORD,0,2024-07-08 13:40:00.000
Fort Lauderdale–Hollywood International Airport,33315,FLL,UA,339,#L475QOP,Boeing 747,IAH,0,2024-07-08 13:40:00.000
Hartsfield–Jackson Atlanta International Airport,30320,ATL,DLTA,225,#N969ZOD,Boeing 777,PHX,0,2024-07-08 13:42:00.000
O'Hare International Airport,60666,ORD,DLTA,201,#Q114KOF,Airbus A350,IAH,0,2024-07-08 14:24:00.000
Seattle–Tacoma International Airport,98158,SEA,AA,245,#F834PZS,Boeing 747,PHX,0,2024-07-08 14:26:00.000
Dallas/Fort Worth International Airport,75261,DFW,DLTA,117,#M970XLW,Airbus A320neo,ORD,0,2024-07-08 14:30:00.000
Logan International Airport,02128,BOS,DLTA,481,#Z795DSL,Airbus A380,DEN,0,2024-07-08 14:31:00.000
Miami International Airport,33126,MIA,UA,257,#J903RYV,Boeing 787 Dreamliner,EWR,0,2024-07-08 14:32:00.000
George Bush Intercontinental Airport,77032,IAH,AA,247,#R514WMD,Boeing 777,FLL,0,2024-07-08 14:33:00.000
Harry Reid International Airport,89119,LAS,DLTA,270,#T517OJY,Airbus A340,JFK,0,2024-07-08 14:35:00.000
Newark Liberty International Airport,07114,EWR,AA,135,#N769GND,Airbus A320,LAS,0,2024-07-08 14:36:00.000
John F. Kennedy International Airport,11430,JFK,UA,230,#E549NRL,Boeing 777,PHX,0,2024-07-08 14:36:00.000
Los Angeles International Airport,90045,LAX,DLTA,324,#A219TXL,Airbus A340,MSP,0,2024-07-08 14:38:00.000
Denver International Airport,80249,DEN,AA,316,#A518HCV,Airbus A340,BOS,0,2024-07-08 14:38:00.000
Fort Lauderdale–Hollywood International Airport,33315,FLL,AA,262,#M765MWO,Boeing 787 Dreamliner,MCO,0,2024-07-08 14:40:00.000
Hartsfield–Jackson Atlanta International Airport,30320,ATL,DLTA,214,#Q533WQF,Boeing 787 Dreamliner,FLL,0,2024-07-08 14:42:00.000
Minneapolis–Saint Paul International Airport,55450,MSP,DLTA,127,#F509KGE,Airbus A320neo,DFW,0,2024-07-08 14:43:00.000
Orlando International Airport,32827,MCO,DLTA,243,#U478TUE,Boeing 767,MIA,0,2024-07-08 14:44:00.000
San Francisco International Airport,94128,SFO,UA,304,#H939JFZ,Boeing 787 Dreamliner,SEA,1,2024-07-08 14:45:00.000
Charlotte Douglas International Airport,28208,CLT,UA,373,#P641IPY,Airbus A380,LAS,0,2024-07-08 14:45:00.000
Phoenix Sky Harbor International Airport,85034,PHX,UA,108,#J266WCG,Boeing 737,IAH,0,2024-07-08 14:47:00.000
Minneapolis–Saint Paul International Airport,55450,MSP,DLTA,103,#S014ZJH,Airbus A320neo,LAS,0,2024-07-08 15:29:00.000
Newark Liberty International Airport,07114,EWR,DLTA,444,#O729IHA,Airbus A380,SFO,0,2024-07-08 15:30:00.000
Fort Lauderdale–Hollywood International Airport,33315,FLL,AA,292,#G780VTX,Boeing 777,ATL,0,2024-07-08 15:31:00.000
Seattle–Tacoma International Airport,98158,SEA,UA,271,#Y376CDV,Boeing 787 Dreamliner,MSP,0,2024-07-08 15:31:00.000
George Bush Intercontinental Airport,77032,IAH,DLTA,180,#I374KAG,Airbus A330,MIA,0,2024-07-08 15:32:00.000
Denver International Airport,80249,DEN,DLTA,272,#W493OEW,Boeing 747,MIA,0,2024-07-08 15:33:00.000
Dallas/Fort Worth International Airport,75261,DFW,DLTA,294,#S015XPC,Boeing 787 Dreamliner,MSP,0,2024-07-08 15:35:00.000
Miami International Airport,33126,MIA,UA,246,#D206UHL,Airbus A350,ORD,0,2024-07-08 15:35:00.000
Orlando International Airport,32827,MCO,DLTA,222,#E435LEL,Boeing 767,LAS,0,2024-07-08 15:41:00.000
Charlotte Douglas International Airport,28208,CLT,AA,285,#J989OCP,Boeing 777,MIA,0,2024-07-08 15:41:00.000
John F. Kennedy International Airport,11430,JFK,AA,361,#A541EJI,Airbus A380,DFW,0,2024-07-08 15:42:00.000
Los Angeles International Airport,90045,LAX,UA,356,#B122DYH,Boeing 747,SFO,0,2024-07-08 15:42:00.000
Phoenix Sky Harbor International Airport,85034,PHX,AA,466,#S351CMN,Airbus A380,SFO,0,2024-07-08 15:44:00.000
Hartsfield–Jackson Atlanta International Airport,30320,ATL,DLTA,228,#I232IHD,Airbus A350,ORD,0,2024-07-08 15:48:00.000
Harry Reid International Airport,89119,LAS,AA,177,#A803QSE,Airbus A330,CLT,0,2024-07-08 15:48:00.000
Logan International Airport,02128,BOS,UA,305,#W193JJJ,Airbus A340,ORD,0,2024-07-08 15:48:00.000
O'Hare International Airport,60666,ORD,UA,492,#H822ZWP,Airbus A380,MCO,0,2024-07-08 15:50:00.000
San Francisco International Airport,94128,SFO,AA,353,#F394IBM,Boeing 747,JFK,0,2024-07-08 15:51:00.000
Dallas/Fort Worth International Airport,75261,DFW,AA,227,#D478MMM,Airbus A330,MCO,0,2024-07-08 16:30:00.000
Minneapolis–Saint Paul International Airport,55450,MSP,AA,97,#O556ZRW,Boeing 737,BOS,0,2024-07-08 16:31:00.000
